word,word_clean,word_stem,lemma,wclass,word_synonym ,synonym
alarm,alarm,alarm,alarm,noun,"list(syn = c(""alarm"", ""alarm clock"", ""alarm system"", ""alarum"", ""alert"", ""consternation"", ""dismay"", ""warning device"", ""warning signal""))",alert
albatross,albatross,albatross,albatross,noun,"list(syn = c(""albatross"", ""millstone"", ""mollymawk""))",albatross
alberta,alberta,alberta,Alberta,name,"list(syn = ""Alberta"")",Alberta
album,album,album,album,noun,"list(syn = c(""album"", ""record album""))",album
alibi,alibi,alibi,alibi,noun,"list(syn = c(""alibi"", ""exculpation"", ""excuse"", ""self-justification""))",excuse
alight,alight,alight,alight,adverb,"list(syn = ""alight"")",alight
aligned,aligned,align,align,verb,"list(syn = c(""adjust"", ""align"", ""aline"", ""array"", ""coordinate"", ""line up"", ""ordinate""))",array
alive,alive,aliv,alive,adjective,"list(syn = c(""active"", ""alert"", ""alive"", ""alive(p)"", ""animated"", ""awake(p)"", ""live""))",alert
alley,alley,alley,alley,noun,"list(syn = c(""alley"", ""alleyway"", ""back street"", ""bowling alley"", ""skittle alley""))",alley
alligators,alligators,allig,alligator,noun,"list(syn = c(""alligator"", ""gator""))",alligator
alma,alma,alma,alma,noun,"list(syn = ""alma"")",alma
almond,almond,almond,almond,noun,"list(syn = c(""almond"", ""Amygdalus communis"", ""Prunus amygdalus"", ""Prunus dulcis"", ""sweet almond""))",almond
alpacas,alpacas,alpaca,alpaca,noun,"list(syn = c(""alpaca"", ""Lama pacos""))",alpaca
alpha,alpha,alpha,alpha,noun,"list(syn = ""alpha"")",alpha
alpine,alpine,alpin,alpine,adjective,"list(syn = c(""alpine"", ""Alpine""))",alpine
alternating,alternating,altern,alternate,verb,"list(syn = c(""alternate"", ""flip"", ""flip-flop"", ""interchange"", ""jump"", ""switch"", ""tack"", ""take turns"", ""understudy""))",jump
amaryllis,amaryllis,amarylli,amaryllis,noun,"list(syn = ""amaryllis"")",amaryllis
amazing,amazing,amaz,amazing,adjective,"list(syn = c(""amazing"", ""astonishing"", ""awe-inspiring"", ""awesome"", ""awful"", ""awing""))",astonishing
amber,amber,amber,amber,noun,"list(syn = c(""amber"", ""gold""))",gold
ambrosia,ambrosia,ambrosia,ambrosia,noun,"list(syn = c(""ambrosia"", ""beebread"", ""bitterweed"", ""nectar"", ""ragweed""))",ambrosia
amuse,amuse,amus,amuse,verb,"list(syn = c(""amuse"", ""disport"", ""divert""))",amuse
anchor,anchor,anchor,anchor,noun,"list(syn = c(""anchor"", ""anchorman"", ""anchorperson"", ""backbone"", ""ground tackle"", ""keystone"", ""linchpin"", ""lynchpin"", ""mainstay""))",anchor
anchoring,anchoring,anchor,anchor,verb,"list(syn = c(""anchor"", ""cast anchor"", ""drop anchor"", ""ground""))",ground
anchors,anchors,anchor,anchor,noun,"list(syn = c(""anchor"", ""anchorman"", ""anchorperson"", ""backbone"", ""ground tackle"", ""keystone"", ""linchpin"", ""lynchpin"", ""mainstay""))",anchor
ancient,ancient,ancient,ancient,adjective,"list(syn = ""ancient"")",ancient
anemone,anemone,anemon,anemone,noun,"list(syn = c(""anemone"", ""sea anemone"", ""windflower""))",anemone
anew,anew,anew,anew,adverb,"list(syn = c(""afresh"", ""anew""))",anew
angel,angel,angel,angel,noun,"list(syn = c(""angel"", ""Angel"", ""Angel Falls"", ""backer"", ""holy man"", ""holy person"", ""saint""))",saint
angels,angels,angel,angel,noun,"list(syn = c(""angel"", ""Angel"", ""Angel Falls"", ""backer"", ""holy man"", ""holy person"", ""saint""))",saint
anger,anger,anger,anger,noun,"list(syn = c(""anger"", ""angriness"", ""choler"", ""ira"", ""ire"", ""wrath""))",anger
angles,angles,angl,angle,verb,"list(syn = c(""angle"", ""fish"", ""lean"", ""slant"", ""tilt"", ""tip"", ""weight""))",tip
angular,angular,angular,angular,adjective,"list(syn = c(""angular"", ""angulate""))",angular
animal,animal,anim,animal,noun,"list(syn = c(""animal"", ""animate being"", ""beast"", ""brute"", ""creature"", ""fauna""))",beast
ankle,ankle,ankl,ankle,noun,"list(syn = c(""ankle"", ""ankle joint"", ""articulatio talocruralis"", ""mortise joint""))",ankle
ann,ann,ann,Ann,name,"list(syn = ""Ann"")",Ann
anne’s,anne,ann,Anne,name,"list(syn = ""Anne"")",Anne
anniversary,anniversary,anniversari,anniversary,noun,"list(syn = c(""anniversary"", ""day of remembrance""))",anniversary
announce,announce,announc,announce,verb,"list(syn = c(""announce"", ""annunciate"", ""declare"", ""denote"", ""foretell"", ""harbinger"", ""herald""))",declare
announcing,announcing,announc,announce,verb,"list(syn = c(""announce"", ""annunciate"", ""declare"", ""denote"", ""foretell"", ""harbinger"", ""herald""))",declare
anoints,anoints,anoint,anoint,verb,"list(syn = c(""anele"", ""anoint"", ""embrocate"", ""inunct"", ""oil""))",oil
answer,answer,answer,answer,noun,"list(syn = c(""answer"", ""reply"", ""resolution"", ""response"", ""result"", ""solution"", ""solvent""))",solvent
answering,answering,answer,answering,noun,"list(syn = ""answering"")",answering
answers,answers,answer,answer,verb,"list(syn = c(""answer"", ""do"", ""reply"", ""resolve"", ""respond"", ""serve"", ""suffice""))",reply
ant,ant,ant,ant,noun,"list(syn = c(""ant"", ""emmet"", ""pismire""))",ant
antique,antique,antiqu,antique,noun,"list(syn = c(""antique"", ""gaffer"", ""old-timer"", ""old geezer"", ""oldtimer""))",antique
antlers,antlers,antler,antler,noun,"list(syn = ""antler"")",antler
ants,ants,ant,ant,noun,"list(syn = c(""ant"", ""emmet"", ""pismire""))",ant
anvil,anvil,anvil,anvil,noun,"list(syn = c(""anvil"", ""incus""))",anvil
apartment,apartment,apart,apartment,noun,"list(syn = c(""apartment"", ""flat""))",apartment
apocalyphons,apocalyphons,apocalyphon,NA,NA,list(syn = NA),NA
apologies,apologies,apolog,apology,noun,"list(syn = c(""apologia"", ""apology"", ""excuse""))",apology
apologize,apologize,apolog,apologize,verb,"list(syn = c(""apologise"", ""apologize"", ""excuse"", ""justify"", ""rationalise"", ""rationalize""))",apologise
apology,apology,apolog,apology,noun,"list(syn = c(""apologia"", ""apology"", ""excuse""))",apology
appalachian,appalachian,appalachian,NA,NA,list(syn = NA),NA
appearing,appearing,appear,appear,verb,"list(syn = c(""appear"", ""come along"", ""come out"", ""look"", ""seem""))",look
applause,applause,applaus,applause,noun,"list(syn = c(""applause"", ""clapping"", ""hand clapping""))",applause
apple,apple,appl,apple,noun,"list(syn = c(""apple"", ""Malus pumila"", ""orchard apple tree""))",apple
apples,apples,appl,apple,noun,"list(syn = c(""apple"", ""Malus pumila"", ""orchard apple tree""))",apple
appreciates,appreciates,appreci,appreciate,verb,"list(syn = c(""appreciate"", ""apprise"", ""apprize"", ""prize"", ""revalue"", ""take account"", ""treasure"", ""value""))",treasure
approaches,approaches,approach,approach,noun,"list(syn = c(""access"", ""advance"", ""approach"", ""approach path"", ""approach shot"", ""approaching"", ""attack"", ""coming"", ""feeler"", ""glide path"", ""glide slope"", ""overture"", ""plan of attack""))",access
approaching,approaching,approach,approach,verb,"list(syn = c(""approach"", ""border on"", ""come near"", ""come on"", ""draw close"", ""draw near"", ""go about"", ""go up"", ""near"", ""set about""))",near
apricot,apricot,apricot,apricot,noun,"list(syn = c(""apricot"", ""apricot tree"", ""peach"", ""salmon pink"", ""yellowish pink""))",apricot
april,april,april,NA,NA,list(syn = NA),NA
apron,apron,apron,apron,noun,"list(syn = c(""apron"", ""forestage"", ""proscenium""))",apron
arbor's,arbor,arbor,arbor,noun,"list(syn = c(""arbor"", ""arbour"", ""bower"", ""mandrel"", ""mandril"", ""pergola"", ""spindle""))",arbor
arc,arc,arc,arc,noun,"list(syn = c(""arc"", ""bow"", ""discharge"", ""electric arc"", ""electric discharge"", ""spark""))",arc
arch,arch,arch,arch,noun,"list(syn = c(""arch"", ""archway""))",arch
arches,arches,arch,arch,verb,"list(syn = c(""arc"", ""arch"", ""curve""))",arc
arctic,arctic,arctic,arctic,adjective,"list(syn = c(""arctic"", ""Arctic"", ""frigid"", ""gelid"", ""glacial"", ""icy"", ""north-polar"", ""polar""))",arctic
argue,argue,argu,argue,verb,"list(syn = c(""argue"", ""contend"", ""debate"", ""fence"", ""indicate"", ""reason""))",contend
arguing,arguing,argu,argue,verb,"list(syn = c(""argue"", ""contend"", ""debate"", ""fence"", ""indicate"", ""reason""))",contend
argument,argument,argument,argument,noun,"list(syn = c(""arguing"", ""argument"", ""argumentation"", ""contention"", ""contestation"", ""controversy"", ""debate"", ""disceptation"", ""disputation"", ""literary argument"", ""statement"", ""tilt""))",debate
arguments,arguments,argument,argument,noun,"list(syn = c(""arguing"", ""argument"", ""argumentation"", ""contention"", ""contestation"", ""controversy"", ""debate"", ""disceptation"", ""disputation"", ""literary argument"", ""statement"", ""tilt""))",debate
aria,aria,aria,aria,noun,"list(syn = ""aria"")",aria
arise,arise,aris,arise,verb,"list(syn = c(""arise"", ""bob up"", ""come up"", ""develop"", ""get up"", ""go up"", ""grow"", ""lift"", ""move up"", ""originate"", ""rebel"", ""rise"", ""rise up"", ""spring up"", ""stand up"", ""turn out"", ""uprise""))",originate
arm,arm,arm,arm,noun,"list(syn = c(""arm"", ""branch"", ""limb"", ""sleeve"", ""subdivision"", ""weapon"", ""weapon system""))",arm
armadillo's,armadillo,armadillo,armadillo,noun,"list(syn = ""armadillo"")",armadillo
armchair,armchair,armchair,armchair,noun,"list(syn = ""armchair"")",armchair
arms,arms,arm,arm,noun,"list(syn = c(""arm"", ""branch"", ""limb"", ""sleeve"", ""subdivision"", ""weapon"", ""weapon system""))",arm
army,army,armi,army,noun,"list(syn = c(""army"", ""Army"", ""ground forces"", ""regular army"", ""U. S. Army"", ""United States Army"", ""US Army"", ""USA""))",army
aroma,aroma,aroma,aroma,noun,"list(syn = c(""aroma"", ""fragrance"", ""odor"", ""odour"", ""olfactory property"", ""perfume"", ""scent"", ""smell""))",odour
arrangement,arrangement,arrang,arrangement,noun,"list(syn = c(""agreement"", ""arrangement"", ""arranging"", ""musical arrangement"", ""organisation"", ""organization"", ""placement"", ""system"", ""transcription""))",transcription
arrival,arrival,arriv,arrival,noun,"list(syn = c(""arrival"", ""arriver"", ""comer"", ""reaching""))",arrival
arrives,arrives,arriv,arrive,verb,"list(syn = c(""arrive"", ""come"", ""get"", ""get in"", ""go far"", ""make it""))",arrive
arriving,arriving,arriv,arrive,verb,"list(syn = c(""arrive"", ""come"", ""get"", ""get in"", ""go far"", ""make it""))",arrive
arrow,arrow,arrow,arrow,noun,"list(syn = c(""arrow"", ""pointer""))",arrow
arrows,arrows,arrow,arrow,noun,"list(syn = c(""arrow"", ""pointer""))",arrow
art,art,art,art,noun,"list(syn = c(""art"", ""artistic creation"", ""artistic production"", ""artistry"", ""artwork"", ""fine art"", ""graphics"", ""nontextual matter"", ""prowess""))",graphics
arthritis,arthritis,arthriti,arthritis,noun,"list(syn = ""arthritis"")",arthritis
artist,artist,artist,artist,noun,"list(syn = c(""artist"", ""creative person""))",artist
ascend,ascend,ascend,ascend,verb,"list(syn = c(""ascend"", ""come up"", ""go up"", ""rise"", ""uprise""))",rise
ash,ash,ash,ash,noun,"list(syn = c(""ash"", ""ash tree""))",ash
ashes,ashes,ash,ash,noun,"list(syn = c(""ash"", ""ash tree""))",ash
asleep,asleep,asleep,asleep,adverb,"list(syn = ""asleep"")",asleep
aspen,aspen,aspen,aspen,adjective,"list(syn = ""aspen"")",aspen
asphalt,asphalt,asphalt,asphalt,noun,"list(syn = c(""asphalt"", ""mineral pitch""))",asphalt
ass,ass,ass,ass,noun,"list(syn = c(""arse"", ""ass"", ""backside"", ""behind"", ""bottom"", ""bum"", ""buns"", ""butt"", ""buttocks"", ""can"", ""derriere"", ""fanny"", ""fuck"", ""fucking"", ""fundament"", ""hind end"", ""hindquarters"", ""keister"", ""nates"", ""nookie"", ""nooky"", ""piece of ass"", ""piece of tail"", ""posterior"", ""prat"", ""rear"", ""rear end"", ""roll in the hay"", ""rump"", ""screw"", ""screwing"", ""seat"", ""shag"", ""shtup"", ""stern"", ""tail"", ""tail end"", ""tooshie"", ""tush""))",screw
assembly,assembly,assembl,assembly,noun,"list(syn = c(""assemblage"", ""assembly"", ""fabrication"", ""forum"", ""gathering"", ""meeting place""))",gathering
asshole,asshole,asshol,asshole,noun,"list(syn = c(""anus"", ""arse"", ""arsehole"", ""asshole"", ""bastard"", ""cocksucker"", ""dickhead"", ""mother fucker"", ""motherfucker"", ""prick"", ""shit"", ""SOB"", ""son of a bitch"", ""whoreson""))",shit
assistant,assistant,assist,assistant,adjective,"list(syn = c(""adjunct"", ""assistant""))",assistant
aster,aster,aster,aster,noun,"list(syn = ""aster"")",aster
asters,asters,aster,aster,noun,"list(syn = ""aster"")",aster
athabasca,athabasca,athabasca,NA,NA,list(syn = NA),NA
atlas,atlas,atlas,atlas,noun,"list(syn = c(""atlas"", ""Atlas"", ""atlas vertebra"", ""book of maps"", ""map collection"", ""telamon""))",atlas
atoms,atoms,atom,atom,noun,"list(syn = c(""atom"", ""corpuscle"", ""molecule"", ""mote"", ""particle"", ""speck""))",atom
atonal,atonal,aton,atonal,adjective,"list(syn = c(""atonal"", ""unkeyed""))",atonal
atop,atop,atop,atop,preposition,"list(syn = ""atop"")",atop
attaching,attaching,attach,attach,verb,"list(syn = c(""attach"", ""bind"", ""bond"", ""confiscate"", ""impound"", ""seize"", ""sequester"", ""tie""))",seize
attacking,attacking,attack,attack,verb,"list(syn = c(""aggress"", ""assail"", ""assault"", ""attack"", ""lash out"", ""round"", ""set on"", ""snipe""))",assault
attempt,attempt,attempt,attempt,noun,"list(syn = c(""attack"", ""attempt"", ""effort"", ""endeavor"", ""endeavour"", ""try""))",try
attention,attention,attent,attention,noun,"list(syn = c(""aid"", ""attending"", ""attention"", ""care"", ""tending""))",aid
attic,attic,attic,attic,noun,"list(syn = c(""attic"", ""Attic"", ""bean"", ""bonce"", ""Classical Greek"", ""dome"", ""garret"", ""loft"", ""noggin"", ""noodle""))",dome
auburn,auburn,auburn,auburn,adjective,"list(syn = ""auburn"")",auburn
auction,auction,auction,auction,noun,"list(syn = c(""auction"", ""auction bridge"", ""auction sale"", ""vendue""))",auction
audience,audience,audienc,audience,noun,"list(syn = c(""audience"", ""consultation"", ""hearing"", ""interview""))",consultation
august,august,august,august,adjective,"list(syn = c(""august"", ""grand"", ""lordly"", ""revered"", ""venerable""))",grand
